driver_id,first_name,last_name,hire_date,license_number,license_state,date_of_birth,home_terminal,employment_status,cdl_class,years_experience
DRV00021,Patricia,Gonzalez,5/25/2019,DL462388455,OK,12/11/1987,New York,Terminated,A,8
DRV00022,Charles,Moore,5/3/2016,DL917364173,NV,1/3/1976,Memphis,Active,A,6
DRV00023,David,Smith,4/3/2015,DL507083673,NC,11/27/1974,Philadelphia,Active,A,23
DRV00024,Barbara,Martinez,9/15/2021,DL398775766,OH,11/27/1961,Dallas,Active,A,17
DRV00025,Jessica,Martinez,9/17/2015,DL907464398,NE,10/2/1977,Omaha,Active,A,9
DRV00026,Charles,Miller,10/10/2019,DL993271900,TX,8/17/1971,Columbus,Active,A,5
DRV00027,Karen,Wilson,12/22/2013,DL552651788,WI,5/6/1988,Philadelphia,Terminated,A,13
DRV00028,Susan,Jackson,9/19/2014,DL370874491,NC,11/27/1987,Memphis,Active,A,19
DRV00029,James,Martin,2/20/2014,DL996478772,UT,2/16/1991,Philadelphia,Active,A,13
DRV00030,Jessica,Hernandez,11/22/2015,DL187946147,WI,7/11/1982,Houston,Active,A,5
DRV00031,Charles,Anderson,4/19/2017,DL604988121,NC,11/4/1980,Seattle,Terminated,A,10
DRV00032,Michael,Anderson,7/14/2019,DL120812641,MN,6/14/1970,Omaha,Active,A,20
DRV00033,William,Anderson,12/19/2016,DL904258674,GA,5/22/1991,New York,Active,A,9
DRV00034,Thomas,Miller,5/25/2015,DL679196799,TX,9/2/1985,Kansas City,Active,A,15
DRV00035,Michael,Taylor,11/19/2018,DL155926488,MI,2/11/1989,Atlanta,Active,A,19
DRV00036,Michael,Thomas,12/4/2012,DL475767056,TX,6/4/1976,Miami,Active,A,21
DRV00037,Jessica,Garcia,4/3/2012,DL340756713,OR,9/27/1985,New York,Active,A,21
DRV00038,William,Williams,12/6/2021,DL798086909,WI,11/28/1960,New York,Active,A,23
DRV00039,Thomas,Martinez,6/29/2013,DL173678414,TX,8/14/1994,Columbus,Active,A,22
DRV00040,Charles,Taylor,12/19/2012,DL938842599,MI,4/17/1963,Miami,Terminated,A,19
DRV00041,Karen,Martin,3/19/2020,DL799816232,TN,10/25/1983,Phoenix,Active,A,2
DRV00042,Richard,Hernandez,3/5/2014,DL143226844,TN,11/15/1991,Los Angeles,Terminated,A,21
DRV00043,Mary,Williams,4/6/2017,DL909851739,CO,4/9/1963,Nashville,Active,A,23
DRV00044,Richard,Davis,3/10/2018,DL133318206,NC,3/10/1995,Atlanta,Active,A,24
DRV00045,Thomas,Martinez,11/20/2018,DL365518424,OH,12/16/1988,New York,Active,A,10
DRV00046,Susan,Davis,4/5/2020,DL314061901,IN,1/21/1967,Atlanta,Terminated,A,2
DRV00047,Elizabeth,Miller,8/4/2019,DL121882877,CO,12/6/1975,Denver,Active,A,7
DRV00048,Thomas,Jones,6/10/2013,DL767154083,NV,9/1/1979,Houston,Terminated,A,10
DRV00049,John,Smith,3/25/2018,DL263619298,OK,7/3/1995,Memphis,Active,A,24
DRV00050,Robert,Johnson,11/9/2020,DL356135680,OH,2/15/1974,Seattle,Active,A,11
DRV00051,Linda,Davis,12/18/2020,DL235528741,WA,11/27/1967,Atlanta,Active,A,12
DRV00052,Thomas,Thomas,9/28/2017,DL608482316,CO,8/23/1969,Phoenix,Terminated,A,13
DRV00053,John,Martin,12/1/2020,DL818825964,WI,9/23/1978,Miami,Active,A,2
DRV00054,James,Williams,12/23/2017,DL222824732,MN,7/27/1977,Chicago,Active,A,7
DRV00055,Mary,Anderson,7/1/2012,DL705557720,FL,8/8/1990,New York,Active,A,6
DRV00056,William,Wilson,2/23/2018,DL334037646,MI,9/5/1989,Oklahoma City,Active,A,20
DRV00057,Thomas,Jackson,3/27/2015,DL599326438,FL,4/20/1984,Las Vegas,Active,A,23
DRV00058,David,Miller,1/14/2019,DL851044796,TX,12/5/1992,Indianapolis,Active,A,14
DRV00059,Barbara,Gonzalez,12/14/2012,DL375139575,CA,5/25/1964,Los Angeles,Active,A,4
DRV00060,Jessica,Thomas,7/8/2021,DL923450567,OK,6/26/1986,Oklahoma City,Active,A,6
DRV00061,Linda,Gonzalez,10/27/2013,DL496098177,PA,5/27/1992,Dallas,Active,A,25
DRV00062,Jessica,Davis,11/7/2016,DL280162221,WA,5/24/1960,Charlotte,Active,A,22
DRV00063,James,Jones,12/28/2015,DL750572325,CA,10/19/1979,Minneapolis,Active,A,2
DRV00064,Michael,Smith,8/8/2020,DL752027025,OK,3/15/1991,Omaha,Active,A,4
DRV00065,Robert,Brown,10/4/2017,DL903079055,OH,8/12/1994,Denver,Active,A,25
DRV00066,William,Wilson,2/13/2021,DL871330207,NE,9/25/1981,Indianapolis,Active,A,18
DRV00067,Jessica,Davis,10/24/2015,DL222978730,WI,7/15/1994,Memphis,Terminated,A,8
DRV00068,John,Garcia,9/19/2018,DL935147672,AZ,4/23/1980,Los Angeles,Terminated,A,14
DRV00069,Patricia,Taylor,9/13/2012,DL979717936,PA,10/13/1975,Minneapolis,Active,A,15
DRV00070,Sarah,Anderson,12/15/2014,DL275842194,PA,7/2/1974,Indianapolis,Active,A,16
DRV00071,Jessica,Johnson,1/25/2015,DL433975497,OK,12/16/1980,Houston,Active,A,12
DRV00072,William,Moore,1/28/2012,DL216070149,NC,7/22/1984,Kansas City,Terminated,A,7
DRV00073,Linda,Davis,5/4/2012,DL721358005,FL,8/2/1969,Chicago,Terminated,A,13
DRV00074,William,Brown,12/12/2017,DL127571992,OK,9/19/1968,Oklahoma City,Active,A,11
DRV00075,John,Anderson,7/13/2015,DL434961542,TN,2/28/1981,Nashville,Active,A,25
DRV00076,Charles,Jones,11/6/2019,DL718257024,NE,2/17/1988,Indianapolis,Terminated,A,12
DRV00077,Patricia,Anderson,2/7/2014,DL827296111,IN,1/24/1989,Detroit,Active,A,20
DRV00078,John,Taylor,3/23/2021,DL502982778,MO,7/28/1969,Minneapolis,Active,A,21
DRV00079,Patricia,Moore,6/28/2021,DL525904456,MI,2/16/1969,Salt Lake City,Active,A,4
DRV00080,Richard,Martin,8/3/2014,DL867741192,CA,6/20/1976,Atlanta,Active,A,3
DRV00081,Joseph,Hernandez,6/13/2019,DL312954978,PA,11/3/1985,Chicago,Active,A,6
DRV00082,Michael,Anderson,5/2/2013,DL181600593,MI,11/28/1981,Charlotte,Active,A,7
DRV00083,Patricia,Martin,10/4/2018,DL735760237,TX,7/11/1994,Portland,Active,A,21
DRV00084,Jessica,Taylor,2/9/2021,DL841541582,CO,9/2/1991,Las Vegas,Active,A,3
DRV00085,Linda,Wilson,5/30/2012,DL991819497,AZ,4/21/1964,Nashville,Active,A,23
DRV00086,Karen,Moore,5/24/2019,DL773496394,MI,4/24/1978,Los Angeles,Terminated,A,4
DRV00087,William,Anderson,4/14/2012,DL360757540,GA,7/4/1965,Charlotte,Active,A,10
DRV00088,Joseph,Garcia,11/14/2020,DL209415691,WI,8/6/1966,Milwaukee,Active,A,16
DRV00089,David,Thomas,9/28/2017,DL848605284,OH,1/2/1979,Minneapolis,Active,A,23
DRV00090,David,Anderson,11/20/2018,DL929445037,NY,1/10/1980,Dallas,Active,A,15
DRV00091,Linda,Rodriguez,12/1/2016,DL423821937,FL,6/14/1982,Dallas,Active,A,17
DRV00092,James,Davis,11/16/2014,DL834717549,IL,4/17/1969,Seattle,Active,A,21
DRV00093,David,Rodriguez,8/25/2012,DL744687060,IL,10/22/1986,Kansas City,Terminated,A,16
DRV00094,Mary,Taylor,11/29/2017,DL964929067,OH,3/6/1971,New York,Active,A,15
DRV00095,Linda,Thomas,3/6/2020,DL229981882,MI,10/28/1965,Dallas,Active,A,10
DRV00096,Joseph,Davis,11/7/2017,DL954942461,WI,10/22/1984,New York,Terminated,A,8
DRV00097,Thomas,Rodriguez,1/7/2018,DL707665448,NY,8/19/1975,Miami,Active,A,18
DRV00098,David,Anderson,8/27/2019,DL940348305,UT,4/15/1969,Kansas City,Active,A,5
DRV00099,Michael,Williams,6/27/2014,DL144097647,NE,8/9/1976,Salt Lake City,Active,A,13
DRV00100,Jennifer,Martinez,1/4/2019,DL472807202,NC,8/10/1960,Memphis,Active,A,15
DRV00101,John,Davis,2/18/2014,DL672030854,CA,3/3/1994,Columbus,Active,A,5
DRV00102,Elizabeth,Rodriguez,5/4/2014,DL559967386,GA,6/19/1988,Milwaukee,Active,A,11
DRV00103,Joseph,Hernandez,9/26/2014,DL810303128,TN,11/14/1979,Seattle,Active,A,23
DRV00104,Richard,Hernandez,3/15/2021,DL497897455,MI,8/28/1976,Portland,Active,A,23
DRV00105,Barbara,Moore,3/4/2015,DL174041730,NC,4/13/1979,Kansas City,Active,A,20
DRV00106,Patricia,Williams,11/19/2014,DL643271261,NC,2/8/1990,Indianapolis,Terminated,A,17
DRV00107,Charles,Jones,2/1/2020,DL795294275,MN,10/12/1984,Detroit,Active,A,18
DRV00108,Joseph,Jones,1/6/2016,DL466394187,WA,12/10/1978,Minneapolis,Active,A,23
DRV00109,Joseph,Davis,10/29/2013,DL113585139,AZ,11/13/1961,Indianapolis,Active,A,11
DRV00110,James,Gonzalez,4/5/2019,DL551034639,IL,1/19/1977,Kansas City,Active,A,3
DRV00111,Richard,Jones,3/3/2020,DL982971099,FL,10/24/1963,Las Vegas,Active,A,9
DRV00112,Jennifer,Miller,10/26/2016,DL626350075,NC,5/25/1991,Los Angeles,Active,A,14
DRV00113,Mary,Williams,9/30/2017,DL213321496,CA,10/26/1974,Milwaukee,Active,A,21
DRV00114,Thomas,Wilson,12/23/2018,DL565492204,TX,4/21/1982,Los Angeles,Active,A,3
DRV00115,Robert,Wilson,10/29/2014,DL488896443,OR,10/9/1972,Salt Lake City,Terminated,A,2
DRV00116,Thomas,Hernandez,4/15/2014,DL782454310,NC,11/4/1968,Salt Lake City,Terminated,A,8
DRV00117,Patricia,Moore,10/4/2015,DL989817696,TX,5/26/1962,Omaha,Active,A,11
DRV00118,Susan,Anderson,7/17/2019,DL593641365,TN,1/19/1988,Columbus,Active,A,8
DRV00119,Jennifer,Wilson,4/29/2014,DL859466878,UT,12/5/1983,Oklahoma City,Active,A,6
DRV00120,Jessica,Johnson,5/14/2018,DL264272995,TN,5/11/1965,Philadelphia,Active,A,10
DRV00121,Mary,Miller,7/20/2012,DL567600762,IL,3/7/1986,Las Vegas,Active,A,11
DRV00122,James,Wilson,5/21/2013,DL289125618,NY,9/12/1968,Minneapolis,Active,A,12
DRV00123,Michael,Gonzalez,4/20/2013,DL887906704,NY,9/9/1993,Houston,Active,A,5
DRV00124,Thomas,Jackson,5/17/2021,DL660221300,TN,5/27/1970,Las Vegas,Active,A,2
DRV00125,David,Smith,6/8/2019,DL798423334,MI,5/24/1990,Seattle,Active,A,17
DRV00126,Sarah,Jackson,10/14/2012,DL389998761,TX,2/15/1981,Minneapolis,Active,A,25
DRV00127,Thomas,Gonzalez,8/23/2021,DL761330848,TX,3/25/1964,Portland,Active,A,15
DRV00128,John,Thomas,12/22/2012,DL967797300,CA,11/24/1974,Las Vegas,Active,A,7
DRV00129,Michael,Smith,6/19/2018,DL677858758,OH,9/12/1985,Oklahoma City,Active,A,6
DRV00130,Karen,Lopez,7/3/2017,DL931764920,NE,7/1/1965,Los Angeles,Active,A,14
DRV00131,Linda,Martinez,1/1/2019,DL619151495,NV,9/4/1976,Seattle,Terminated,A,19
DRV00132,Patricia,Gonzalez,4/5/2021,DL599154414,MO,6/22/1989,Las Vegas,Active,A,24
DRV00133,Mary,Wilson,8/21/2019,DL567694547,MO,10/13/1976,Seattle,Active,A,9
DRV00134,Linda,Moore,8/23/2015,DL986625773,MO,2/22/1983,Nashville,Active,A,18
DRV00135,Karen,Moore,3/5/2012,DL884933416,TX,8/1/1974,Miami,Terminated,A,19
DRV00136,Susan,Martin,12/14/2013,DL736164778,NE,6/20/1995,Denver,Terminated,A,23
DRV00137,Michael,Davis,6/23/2018,DL388187517,IN,11/3/1974,New York,Terminated,A,13
DRV00138,Jennifer,Thomas,8/15/2019,DL446071904,OR,12/10/1989,Nashville,Active,A,4
DRV00139,Sarah,Davis,8/27/2014,DL363598427,MN,2/5/1986,Charlotte,Active,A,14
DRV00140,Richard,Rodriguez,5/28/2016,DL991990632,MN,1/10/1962,Dallas,Terminated,A,25
DRV00141,Thomas,Wilson,7/26/2017,DL193053577,MI,2/4/1991,Dallas,Active,A,3
DRV00142,John,Thomas,1/31/2012,DL399496923,TN,9/5/1975,Dallas,Active,A,15
DRV00143,Linda,Smith,10/17/2014,DL584044963,NV,8/12/1984,Dallas,Active,A,2
DRV00144,James,Gonzalez,11/9/2016,DL361846370,MI,7/19/1994,Las Vegas,Active,A,16
DRV00145,Susan,Hernandez,5/26/2020,DL905817775,TN,7/21/1969,Los Angeles,Active,A,4
DRV00146,Jessica,Gonzalez,1/13/2019,DL598976917,MO,8/20/1966,Oklahoma City,Active,A,12
DRV00147,Richard,Garcia,6/9/2020,DL711871397,IL,5/2/1986,Oklahoma City,Active,A,20
DRV00148,Patricia,Anderson,3/28/2019,DL755338677,MO,4/15/1983,Denver,Active,A,15
DRV00149,Linda,Jones,8/25/2013,DL817461907,OK,4/28/1988,New York,Active,A,20
DRV00150,Robert,Martin,9/16/2015,DL506936666,CA,2/22/1983,Columbus,Active,A,14
